Sample Size,Design,OBD Sel%,FD Sel%,OBD Pts%,Poor Pts%,OV Pts%,OV Sel%,CompRank
36,uTPI,40.96,55.88,32.93,52.83, 3.38,1.40,4(4.33)
36,BOIN-ET,39.93,57.81,34.30,52.08, 5.21,1.60,4(4.33)
36,Joint3+3,40.32,58.57,34.29,51.41, 6.41,1.73,3(4.17)
36,STEIN,40.84,56.74,33.49,51.94, 2.56,1.32,2(3.33)
36,PRINTE,39.64,57.13,33.03,53.34, 3.81,1.50,6(5.33)
36,TEPI,41.47,61.54,30.18,53.01, 8.42,1.92,6(5.33)
36,BOIN12,44.71,63.96,33.51,41.04, 5.08,2.22,1(2.83)
36,EffTox,40.56,62.20,31.89,54.12,11.59,6.04,8(6.33)
54,uTPI,43.09,58.57,36.06,51.06, 2.77,0.98,5(4.50)
54,BOIN-ET,41.87,60.36,36.83,50.47, 4.12,1.23,5(4.50)
54,Joint3+3,42.62,61.46,36.79,49.88, 5.29,1.11,4(4.33)
54,STEIN,42.97,59.53,35.96,49.61, 2.05,0.95,2(3.83)
54,PRINTE,41.86,60.06,35.41,51.71, 3.23,1.05,7(5.67)
54,TEPI,43.61,63.85,33.14,53.16, 7.59,1.26,8(5.83)
54,BOIN12,47.39,66.58,36.56,38.20, 4.19,1.78,1(3.17)
54,EffTox,44.32,66.28,36.64,49.28, 9.78,3.72,3(4.17)
36,uTPI,42.98,58.29,34.31,46.55,3.21,0.72,1(3.00)
36,BOIN-ET,40.44,56.80,35.64,50.78,4.94,0.60,5(4.17)
36,Joint3+3,41.12,57.35,35.37,50.56,6.02,0.62,4(4.00)
36,STEIN,41.18,56.58,34.38,51.10,2.48,0.49,2(3.17)
36,PRINTE,40.19,56.37,33.87,52.53,3.69,0.55,6(5.17)
36,TEPI,40.89,58.09,28.96,55.10,8.38,0.83,7(6.17)
36,BOIN12,44.25,60.33,33.85,43.56,3.77,0.92,3(3.50)
36,EffTox,36.56,49.68,31.20,56.68,2.68,1.36,8(6.83)
54,uTPI,45.87,61.48,37.80,45.91,2.79,0.54,1(2.83)
54,BOIN-ET,42.14,58.96,37.89,49.81,3.95,0.35,4(4.17)
54,Joint3+3,42.82,59.48,37.79,49.30,5.02,0.44,5(4.50)
54,STEIN,43.40,59.54,37.23,48.38,2.04,0.37,2(3.17)
54,PRINTE,41.71,58.56,36.13,51.28,3.17,0.36,6(5.50)
54,TEPI,42.73,60.36,31.80,55.51,7.51,0.49,7(6.00)
54,BOIN12,48.16,64.56,37.14,39.69,3.07,0.63,2(3.17)
54,EffTox,37.96,51.52,32.69,57.16,1.98,0.64,8(6.67)
